scientificName,decimalLatitude,decimalLongitude
Megalastrum_magnum,-24.6333333,46.75
Vittaria_humblotii,-24.6333333,46.7666667
Antrophyum_boryanum,-24.6333333,46.7666667
Antrophyum_malgassicum,-24.6333333,46.7666667
Asplenium_pellucidum,-24.6333333,46.7666667
Asplenium_blastophorum,-24.6333333,46.7666667
Asplenium_thunbergii,-24.6333333,46.7666667
Asplenium,-24.6333333,46.7666667
Asplenium_petiolulatum,-24.6333333,46.7666667
Blechnum_microbasis,-24.6333333,46.7666667
Ctenitis,-24.6333333,46.7666667
Elaphoglossum_hybridum,-24.6333333,46.7666667
Elaphoglossum_leucolepis,-24.6333333,46.7666667
Elaphoglossum_splendens,-24.6333333,46.7666667
Elaphoglossum_spatulatum,-24.6333333,46.7666667
Elaphoglossum_achroalepis,-24.6333333,46.7666667
Rumohra,-24.6333333,46.7666667
Abrodictyum_rigidum,-24.6333333,46.7666667
Crepidomanes_bipunctatum,-24.6333333,46.7666667
Hymenophyllum_splendidum,-24.6333333,46.7666667
Trichomanes,-24.6333333,46.7666667
Huperzia_verticillata,-24.6333333,46.7666667
Huperzia_megastachya,-24.6333333,46.7666667
Lygodium_lanceolatum,-24.6333333,46.7666667
Lepisorus_excavatus,-24.6333333,46.7666667
Enterosora_gilpiniae,-24.6333333,46.7666667
Grammitis_elastica,-24.6333333,46.7666667
Loxogramme_humblotii,-24.6333333,46.7666667
Terpsichore_elastica,-24.6333333,46.7666667
Ceradenia_comorensis,-24.6333333,46.7666667
Selaginella_polymorpha,-24.6333333,46.7666667
Christella,-24.6333333,46.7666667
Cyathea_tsilotsilensis,-24.6333333,46.7666667
Cyathea_boivinii_boivinii,-24.6333333,46.7666667
Tectaria_madagascarica,-24.6333333,46.7666667
Davallia_chaerophylloides,-24.6333333,46.7666667
Vittaria_hildebrandtii,-24.6333333,46.7666667
Cyathea_remotifolia,-24.6333333,46.7666667
Lindsaea_madagascariensis,-24.6333333,46.7666667
